A-Party,B-Party,Call Type,Start Date,Start Time,Duration,IMEI,IMSI,Cell ID,Call Status
9876543210,9123456701,Voice Call,2026-05-01,08:12:15,185,356789012345671,404450123456781,CELL1001,Completed
9876543210,9123456702,SMS,2026-05-01,08:34:22,0,356789012345671,404450123456781,CELL1001,Delivered
9876543210,9123456703,Voice Call,2026-05-01,09:05:18,92,356789012345671,404450123456781,CELL1002,Completed
9876543210,9123456704,Missed Call,2026-05-01,09:48:44,0,356789012345671,404450123456781,CELL1002,Missed
9876543210,9123456701,Voice Call,2026-05-01,10:10:05,321,356789012345671,404450123456781,CELL1003,Completed
9876543210,9123456705,SMS,2026-05-01,10:42:16,0,356789012345671,404450123456781,CELL1003,Delivered
9876543210,9123456706,Voice Call,2026-05-01,11:08:51,145,356789012345671,404450123456781,CELL1004,Completed
9876543210,9123456707,Voice Call,2026-05-01,11:55:39,215,356789012345671,404450123456781,CELL1004,Completed
9876543210,9123456702,SMS,2026-05-01,12:18:04,0,356789012345671,404450123456781,CELL1005,Delivered
9876543210,9123456708,Voice Call,2026-05-01,13:02:27,410,356789012345671,404450123456781,CELL1005,Completed
9876543210,9123456709,Missed Call,2026-05-01,14:16:11,0,356789012345671,404450123456781,CELL1006,Missed
9876543210,9123456710,Voice Call,2026-05-01,15:05:34,178,356789012345671,404450123456781,CELL1006,Completed
9876543210,9123456701,Voice Call,2026-05-01,16:22:50,266,356789012345671,404450123456781,CELL1007,Completed
9876543210,9123456711,SMS,2026-05-01,17:10:13,0,356789012345671,404450123456781,CELL1007,Delivered
9876543210,9123456712,Voice Call,2026-05-01,18:03:40,129,356789012345671,404450123456781,CELL1008,Completed
9876543210,9123456703,Voice Call,2026-05-02,08:20:55,201,356789012345671,404450123456781,CELL1009,Completed
9876543210,9123456704,SMS,2026-05-02,08:55:08,0,356789012345671,404450123456781,CELL1009,Delivered
9876543210,9123456705,Voice Call,2026-05-02,09:18:17,88,356789012345671,404450123456781,CELL1010,Completed
9876543210,9123456706,Missed Call,2026-05-02,09:44:41,0,356789012345671,404450123456781,CELL1010,Missed
9876543210,9123456701,Voice Call,2026-05-02,10:12:36,332,356789012345671,404450123456781,CELL1011,Completed
